DATE,VALUE
4/28/2020,3.15 estimate
3/31/2020,2.83 estimate
12/31/2019,3.53
9/30/2019,3.3
6/30/2019,3.32
3/31/2019,3.26
12/31/2018,2.94
9/30/2018,3.45
6/30/2018,3.25
3/31/2018,3.17
12/31/2017,3.23
9/30/2017,3.08
6/30/2017,3.03
3/31/2017,3.01
12/31/2016,2.91
9/30/2016,2.78
6/30/2016,2.74
3/31/2016,2.74
12/31/2015,2.76
9/30/2015,2.58
6/30/2015,2.8
3/31/2015,2.84
12/31/2014,2.83
9/30/2014,2.68
6/30/2014,2.67
3/31/2014,2.61
12/31/2013,2.58
9/30/2013,2.43
6/30/2013,2.37
3/31/2013,2.31
12/31/2012,2.14
9/30/2012,2.18
6/30/2012,2.13
3/31/2012,2.22
12/31/2011,2.05
9/30/2011,1.85
6/30/2011,2.15
3/31/2011,2.23
12/31/2010,2.17
9/30/2010,2.01
6/30/2010,1.9
3/31/2010,2.2
12/31/2009,2.17
9/30/2009,2.12
6/30/2009,1.89
3/31/2009,1.78
12/31/2008,2
9/30/2008,2.27
6/30/2008,2.41
3/31/2008,2.49
12/31/2007,2.77
9/30/2007,2.91
6/30/2007,2.91
3/31/2007,2.79
12/31/2006,2.81
9/30/2006,2.72
6/30/2006,2.67
3/31/2006,2.76
12/31/2005,2.76
9/30/2005,2.78
6/30/2005,2.73
3/31/2005,2.77
12/31/2004,2.92
9/30/2004,2.77
6/30/2004,2.95
3/31/2004,2.99
12/31/2003,3.03
9/30/2003,2.83
6/30/2003,2.81
3/31/2003,2.58
12/31/2002,2.73
9/30/2002,2.43
6/30/2002,3
3/31/2002,3.45
12/31/2001,3.39
9/30/2001,3.07
6/30/2001,3.54
3/31/2001,3.34
12/31/2000,4.05
9/30/2000,4.49
6/30/2000,4.65
3/31/2000,5.06
12/31/1999,5.05
